iter	Passed	Remaining
0	25742	9859337
1	37311	7126472
2	47197	5994137
3	56722	5388665
4	66251	5021828
5	76449	4816304
6	86399	4653232
7	97601	4587269
8	107183	446596299	117022	4376635110	126873	4302177
11	137508	4262755
12	147820	4218572
13	158094	4178208
14	169345	4165901
15	180415	4149548
16	191330	4130488
17	202147	4110333
18	212340	4079164
19	222252	4044994
20	232382	4016892
21	241740	3977735
22	252490	3963004
23	262414	3936210
24	273712	3930512
25	283269	3900399
26	293383	3879182
27	303332	3856657
28	313117	3832988
29	322806	3809116
30	332572	3787032
31	342215	3764374
32	352272	3746898
33	361701	3723398
34	372148	3710854
35	382728	3699709
36	392705	3682937
37	404088	3679333
38	413588	3658664
39	423565	3642664
40	432739	3620237
41	443879	3614443
42	455171	3609612
43	464731	3591107
44	476157	3587050
45	485134	3564681
46	497003	3563618
47	507631	3553423
48	519330	3550527
449	521193	3481572550	531494	3470347
51	542664	3464702
2	516051	3222888
3	503211	3075180
5454	511365	3058895555	518705	3038135656	526676	3021455757	534188	30025058	523886	2885818
7
